type,code,name,addr,lat,lng
01,21836205,해맑은약국,부산광역시 해운대구 좌동순환로 415 (중동),35.1617531,129.1754059
01,12861570,다온약국,서울특별시 광진구 긴고랑로 41 1층 (중곡동),37.5630168,127.0809342
01,34842446,청춘약국,"충청남도 천안시 서북구 불당25로 176  율곡스퀘어 144호,145호 (불당동)",36.8162381,127.1091268
01,38824442,삼성제일약국,"경상남도 창원시 마산회원구 팔용로 155-1, (구암동)",35.2429565,128.5908418
01,21806039,명성약국,부산광역시 해운대구 송정중앙로 31 1층 (송정동),35.1825052,129.2040537
01,11811471,형제약국,서울특별시 관악구 남부순환로172길 10 1층 (신림동),37.4833346,126.9252238
01,12861723,친절한약국,서울특별시 동작구 사당로 224 1층 (사당동),37.4837087,126.9725656
01,11827211,서울센타약국,"서울특별시 구로구 구로동로 151 (구로동, 코지하우스)",37.4921651,126.8834639
03,3038209022,충북원예농협하나로마트,충북 충주시 번영대로 229,36.9874565,127.9432756
01,12837067,한사랑온누리약국,"서울특별시 서대문구 신촌로 183 지하1층 (대현동, 유인빌딩)",37.5570708,126.9463128
01,21836469,아이온시티 2층약국,"부산광역시 부산진구 서면로 74 (부전동, 아이온시티빌딩)",35.1572152,129.0581365
02,5118301929,상주내서우체국,경상북도 상주시 내서면 낙서1길 62 ,36.401399,128.026913
02,6148300802,남해삼동우체국,남해군 삼동면 동부대로1876번길 10,34.8313153,128.0008855
01,31808646,온누리약손약국,"경기도 수원시 권선구 경수대로 323 1층 (세류동, 한마음빌딩)",37.2557416,127.021222
01,41841174,희망약국,경기도 포천시 호국로 1001 1층 (선단동),37.8543062,127.1662508
01,37833383,봄약국,대구광역시 중구 달구벌대로447길 6 B동 1층 (삼덕동3가),35.8626771,128.6074531
01,12817341,늘푸른약국,서울특별시 도봉구 도봉로163길 7 (도봉동),37.6760511,127.0439883
03,5108200935,월항농협하나로마트,경북 성주군 월항면 안포5리 353-5,,
02,6158301366,창녕영산우체국,경남 창녕군 영산면 연지길 11,35.4563223,128.5277121
01,31874011,한미약국,"경기도 고양시 일산서구 일현로 56 106호 (탄현동, 삼정프라자)",37.6919338,126.7637324
01,41838947,조이약국,"경기도 용인시 수지구 정평로 40-1, 거묵상가1 109호 (풍덕천동)",37.3199328,127.0876577
01,21816867,반여우리약국,"부산광역시 해운대구 재반로 213-1, 1층 (반여동, 수성빌딩)",35.1964014,129.1306824
01,41846648,우리들온누리약국,경기도 용인시 처인구 남사면 한숲로 84 1층 129호 (e편한세상 용인 한숲시티),37.1545927,127.1741061
01,11872608,the사랑약국,서울특별시 노원구 한글비석로 331 중계주공3단지아파트단지내상가 101호 (중계동),37.6566351,127.0774629
